"id","feat_sampled","feat_sampled_wgt","feat_selected","feat_selected_wgt","imp","imp_wgt"
"10165_at",0,0,0,0,NA,NA
"10254_at",0,0,0,0,NA,NA
"10802_at",0,0,0,0,NA,NA
"135398_at",0,0,0,0,NA,NA
"196410_at",0,0,0,0,NA,NA
"1992_at",0,0,0,0,NA,NA
"2065_at",0,0,0,0,NA,NA
"23400_at",0,0,0,0,NA,NA
"23424_at",0,0,0,0,NA,NA
"286144_at",0,0,0,0,NA,NA
"3172_at",0,0,0,0,NA,NA
"3217_at",0,0,0,0,NA,NA
"375056_at",0,0,0,0,NA,NA
"389792_at",0,0,0,0,NA,NA
"54810_at",0,0,0,0,NA,NA
"55135_at",0,0,0,0,NA,NA
"5529_at",0,0,0,0,NA,NA
"55831_at",0,0,0,0,NA,NA
"55920_at",0,0,0,0,NA,NA
"79754_at",0,0,0,0,NA,NA
"83605_at",0,0,0,0,NA,NA
"83637_at",0,0,0,0,NA,NA
"83743_at",0,0,0,0,NA,NA
"83941_at",0,0,0,0,NA,NA
"84749_at",0,0,0,0,NA,NA
"874_at",0,0,0,0,NA,NA
"9637_at",0,0,0,0,NA,NA
"9849_at",0,0,0,0,NA,NA
"100132116_at",23,22.3247059874424,23,22.3247059874424,1,1
"100132356_at",18,17.393348998491,18,17.393348998491,1,1
"100316868_at",13,12.6512943673274,13,12.6512943673274,1,1
"100533178_at",22,21.2042438842535,22,21.2042438842535,1,1
"100652768_at",17,16.5873244817046,17,16.5873244817046,1,1
"10101_at",2,1.96089973456802,2,1.96089973456802,1,1
"10110_at",19,18.3002613907822,19,18.3002613907822,1,1
"101927167_at",12,11.4874886484903,12,11.4874886484903,1,1
"101927934_at",19,18.4046845552274,19,18.4046845552274,1,1
"1020_at",5,4.8461520573646,5,4.8461520573646,1,1
"10212_at",12,11.6274903915206,12,11.6274903915206,1,1
"10252_at",19,18.4053603073212,19,18.4053603073212,1,1
"10261_at",11,10.7238965705518,11,10.7238965705518,1,1
"10282_at",24,23.2213360830422,24,23.2213360830422,1,1
"10398_at",19,18.3014679408518,19,18.3014679408518,1,1
"10435_at",3,2.92302483465542,3,2.92302483465542,1,1
"10437_at",16,15.5647387714373,16,15.5647387714373,1,1
"1051_at",9,8.76709370263012,9,8.76709370263012,1,1
"1052_at",23,22.3985472158739,23,22.3985472158739,1,1
"10631_at",15,14.5300901878802,15,14.5300901878802,1,1
"10753_at",14,13.6544669830396,14,13.6544669830396,1,1
"10791_at",8,7.59724459397678,8,7.59724459397678,1,1
"10873_at",9,8.60554691616768,9,8.60554691616768,1,1
"10891_at",19,18.2479738304351,19,18.2479738304351,1,1
"10929_at",1,0.979039000188898,1,0.979039000188898,1,1
"10998_at",5,4.84487510295434,5,4.84487510295434,1,1
"10_at",15,14.6322635798492,15,14.6322635798492,1,1
"11001_at",7,6.84653736127402,7,6.84653736127402,1,1
"11031_at",21,20.3827859511872,21,20.3827859511872,1,1
"11047_at",20,19.3311957096687,20,19.3311957096687,1,1
"11065_at",15,14.5536142478857,15,14.5536142478857,1,1
"11098_at",3,2.93765458058404,3,2.93765458058404,1,1
"11148_at",22,21.4136314860727,22,21.4136314860727,1,1
"11151_at",12,11.6718206680943,12,11.6718206680943,1,1
"11167_at",14,13.5236380806715,14,13.5236380806715,1,1
"11187_at",17,16.4205669178998,17,16.4205669178998,1,1
